symbol,sector,sub_sector
BDX,Industrial & Commercial Services, Business Support Services
BEC,Cyclical Consumer Products, Construction Supplies & Fixtures
BEH,Industrial & Commercial Services, Construction & Engineering
BEI,Applied Resources, Forest & Wood Products
BEW,Food & Beverages, Food Processing
BEZ,Industrial & Commercial Services, Construction & Engineering
BFI,Industrial & Commercial Services, Construction & Engineering
BFK,Pharmaceuticals & Medical Research, Pharmaceuticals
BFT,Retailers, Home Improvement Products & Services Retailers
BFU,Automobiles & Auto Parts, Auto
BHD,Real Estate, Real Estate Development & Operations
BHK,Utilities, Water Utilities
BHU,Cyclical Consumer Services, Leisure & Recreation
BIP,Transportation, Air Freight & Logistics
BIX,Technology Equipment, Semiconductor Equipment & Testing
BJD,Utilities, Electric Utilities
BJV,Food & Beverages, Food Processing
BJZ,Cyclical Consumer Products, Home Furnishings
BKA,Industrial Goods, Heavy Machinery & Vehicles
BKK,Chemicals, Specialty Chemicals
BKV,Food & Beverages, Fishing & Farming
BKW,Cyclical Consumer Services, Hotels
BKX,Industrial Goods, Heavy Machinery & Vehicles
BKZ,Pharmaceuticals & Medical Research, Pharmaceuticals
BLH,Industrial & Commercial Services, Business Support Services
BLR,Utilities, Water Utilities
BLS,Banking & Investment Services, Investment Management & Fund Operators
BLU,Automobiles & Auto Parts, Tires & Rubber Products
BLZ,Energy - Fossil Fuels, Oil Related Services and Equipme
BMGU,Real Estate, Commercial REITs
BMT,Healthcare Services, Healthcare Facilities & Services
BN2,Technology Equipment, Electronic Equipment & Parts
BN4,Consumer Goods Conglomerates, Consumer Goods Conglomerates
BNE,Food & Beverages, Fishing & Farming
BPF,Automobiles & Auto Parts, Auto
BQC,Industrial & Commercial Services, Commercial Printing Services
BQD,Cyclical Consumer Services, Restaurants & Bars
BQF,Industrial Goods, Electrical Components & Equipment
BQM,Industrial Goods, Heavy Machinery & Vehicles
BQN,Industrial Goods, Electrical Components & Equipment
BQP,Applied Resources, Non-Paper Containers & Packaging
BRD,Industrial & Commercial Services, Construction & Engineering
BRS,Cyclical Consumer Products, Recreational Products
BS6,Industrial Goods, Shipbuilding
BSL,Healthcare Services, Healthcare Facilities & Services
BTE,Real Estate, Real Estate Development & Operations
BTG,Mineral Resources, Iron & Steel
BTJ,Transportation, Air Freight & Logistics
BTM,Transportation, Passenger Transportation
BTOU,Real Estate, Commercial REITs
BTP,Energy - Fossil Fuels, Oil Related Services and Equipme
BTX,Industrial Goods, Industrial Machinery & Equipment
BUOU,Real Estate, Commercial REITs
BVA,Healthcare Services, Medical Equipment
BVQ,Software & IT Services, IT Services & Consulting
BWCU,Real Estate, Specialized REITs
BWM,Renewable Energy, Renewable Energy Equipment & Services
BXE,Technology Equipment, Electronic Equipment & Parts
C04,Cyclical Consumer Products, Appliances
C05,Chemicals, Commodity Chemicals
C06,Industrial & Commercial Services, Construction & Engineering
C07,Consumer Goods Conglomerates, Consumer Goods Conglomerates
C09,Real Estate, Real Estate Development & Operations
C13,Energy - Fossil Fuels, Oil Related Services and Equipme
C2PU,Real Estate, Specialized REITs
C33,Real Estate, Real Estate Development & Operations
C38U,Real Estate, Commercial REITs
C41,Retailers, Apparel & Accessories Retailers
C52,Transportation, Passenger Transportation
C6L,Transportation, Airlines
C70,Real Estate, Real Estate Development & Operations
C76,Technology Equipment, Computer Hardware
C8R,Chemicals, Commodity Chemicals
C9Q,Energy - Fossil Fuels, Oil & Gas Refining and Marketin
CC3,Telecommunications Services, Wireless Telecommunications Services
CEDU,Real Estate, Commercial REITs
CGN,Personal & Household Products & Services, Personal Products
CHJ,Industrial & Commercial Services, Business Support Services
CHZ,Industrial & Commercial Services, Employment Services
CIN,Transportation, Marine Freight & Logistics
CJLU,Telecommunications Services, Integrated Telecommunications Services
CLN,Real Estate, Real Estate Services
CMOU,Real Estate, Commercial REITs
CNE,Personal & Household Products & Services, Personal Services
CRPU,Real Estate, Commercial REITs
CTO,Real Estate, Real Estate Development & Operations
CWBU,Real Estate, Commercial REITs
CY6U,Real Estate, Commercial REITs
CYW,Industrial Goods, Electrical Components & Equipment
D01,Food & Drug Retailing, Food Retail & Distribution
D03,Food & Beverages, Food Processing
D05,Banking & Investment Services, Banks
D5IU,Real Estate, Commercial REITs
D8DU,Transportation, Marine Freight & Logistics
DCRU,Real Estate, Specialized REITs
DHLU,Real Estate, Commercial REITs
DM0,Applied Resources, Paper Packaging
DRX,Cyclical Consumer Services, Restaurants & Bars
DU4,Energy - Fossil Fuels, Oil Related Services and Equipme
E27,Cyclical Consumer Services, Advertising & Marketing
E28,Industrial Goods, Industrial Machinery & Equipment
E3B,Industrial & Commercial Services, Construction & Engineering
E5H,Food & Beverages, Food Processing
E6R,Applied Resources, Forest & Wood Products
E9L,Banking & Investment Services, Corporate Financial Services
EB5,Food & Beverages, Food Processing
EB7,Industrial Goods, Industrial Machinery & Equipment
EH5,Real Estate, Real Estate Development & Operations
EHG,Healthcare Services, Healthcare Facilities & Services
EMI,Food & Beverages, Distillers & Wineries
ENV,Industrial & Commercial Services, Environmental Services & Equipment
ER0,Industrial & Commercial Services, Construction & Engineering
F03,Food & Beverages, Food Processing
F10,Retailers, Apparel & Accessories Retailers
F13,Industrial Goods, Industrial Machinery & Equipment
F17,Real Estate, Real Estate Development & Operations
F1E,Industrial & Commercial Services, Construction & Engineering
F34,Food & Beverages, Food Processing
F83,Transportation, Marine Freight & Logistics
F86,Real Estate, Real Estate Development & Operations
F99,Food & Beverages, Food Processing
F9D,Industrial & Commercial Services, Construction & Engineering
FQ7,Transportation, Marine Freight & Logistics
FRQ,Healthcare Services, Healthcare Facilities & Services
G07,Insurance, Life & Health Insurance
G0I,Cyclical Consumer Products, Construction Supplies & Fixtures
G13,Cyclical Consumer Services, Casinos & Gaming
G20,Industrial Goods, Electrical Components & Equipment
G50,Cyclical Consumer Products, Recreational Products
G92,Transportation, Airport Services
GRQ,Food & Beverages, Fishing & Farming
GU5,Chemicals, Commodity Chemicals
H02,Pharmaceuticals & Medical Research, Pharmaceuticals
H07,Cyclical Consumer Services, Hotels
H12,Cyclical Consumer Services, Hotels
H13,Real Estate, Real Estate Development & Operations
H15,Cyclical Consumer Services, Hotels
H18,Cyclical Consumer Services, Hotels
H20,Industrial Goods, Industrial Machinery & Equipment
H22,Automobiles & Auto Parts, Auto
H30,Real Estate, Real Estate Development & Operations
H78,Real Estate, Real Estate Development & Operations
HKB,Banking & Investment Services, Investment Management & Fund Operators
HMN,Real Estate, Specialized REITs
HQU,Food & Beverages, Food Processing
I06,Industrial & Commercial Services, Diversified Industrial Goods Wholesale
I07,Industrial Goods, Electrical Components & Equipment
I11,Utilities, Natural Gas Utilities
I15,Retailers, Department Stores
I49,Banking & Investment Services, Consumer Lending
IX2,Energy - Fossil Fuels, Oil Related Services and Equipme
J03,Technology Equipment, Semiconductors
J2T,Industrial & Commercial Services, Construction & Engineering
J36,Consumer Goods Conglomerates, Consumer Goods Conglomerates
J69U,Real Estate, Commercial REITs
J85,Real Estate, Specialized REITs
J91U,Real Estate, Commercial REITs
JLB,Industrial Goods, Industrial Machinery & Equipment
JYEU,Real Estate, Commercial REITs
K03,Food & Beverages, Food Processing
K29,Technology Equipment, Computer Hardware
K6S,Insurance, Life & Health Insurance
K71U,Real Estate, Commercial REITs
K75,Industrial & Commercial Services, Construction & Engineering
KJ5,Industrial & Commercial Services, Construction & Engineering
